,no_bhk,price,area,cons_stats
1007,2 ,6000000,1251,3
1008,2 ,5800000,1170,3
1009,3 ,13899999,1800,1
1010,3 ,12700000,2400,1
1011,3 ,13000000,1802,1
1012,3 ,5400000,1190,3
1013,2 ,5500000,917,1
1014,3 ,13500000,1305,1
1015,2 ,5052000,1175,3
1016,2 ,25000000,2340,1
1017,4 ,13500000,3017,3
1018,3 ,8550000,1500,3
1019,2 ,3800000,1125,3
1020,2 ,9000000,999,1
1021,3 ,9670000,1728,3
1022,2 ,4500000,1100,1
1023,3 ,13200000,2200,1
1024,4 ,45000000,3455,1
1025,4 ,5900000,1560,1
1026,2 ,7000000,1175,1
1027,3 ,11700000,1700,3
1028,4 ,24000000,5180,1
1029,5 ,50000000,5000,1
1030,5 ,50000000,5000,1
1031,5 ,50000000,5000,1
1032,3 ,6000000,1257,1
1033,3 ,16500000,1400,1
1034,10 ,37000000,5400,1
1035,2 ,9200000,1150,1
1036,2 ,5400000,1100,1
1037,2 ,6954000,1220,3
1038,3 ,17900000,2050,3
1039,3 ,9100000,1555,1
1040,2 ,4000000,1000,1
1041,6 ,19000000,3500,1
1042,2 ,6600000,1260,3
1043,2 ,6208000,1267,1
1044,2 ,6600000,900,3
1045,4 ,38500000,2200,1
1046,2 ,7200000,1050,1
1047,4 ,9000000,2000,3
1048,2 ,5969000,1148,3
1049,2 ,6300000,1145,1
1050,2 ,5040000,1160,1
1051,2 ,6540000,1190,1
1052,3 ,7700000,1400,3
1053,3 ,7500000,1350,1
1054,2 ,4000000,1035,1
1055,2 ,3600000,1200,3
1056,2 ,5000000,1050,1
1057,2 ,7318000,1220,3
1058,4 ,19000000,3200,1
1059,2 ,8700000,1350,1
1060,3 ,24200000,1735,1
1061,7 ,17500000,5200,1
1062,2 ,5500000,1080,1
1063,3 ,8000000,1250,1
1064,2 ,3100000,800,1
1065,2 ,6318000,1215,1
1066,3 ,9200000,1470,1
1067,3 ,4000000,1050,1
1068,2 ,5999000,1646,1
1069,2 ,6000000,1260,3
1070,2 ,9000000,1269,1
