,no_bhk,price,area,cons_stats
1978,2 ,6300000,970 ,Ready to move
1979,3 ,13899999,1550 ,Ready to move
1980,3 ,6500000,1100 ,Ready to move
1981,2 ,4550000,910 ,Under Construction
1982,Residential Plot,1102000,1323 ,New
1983,Residential Plot,1102000,1323 ,New
1984,Residential Plot,1102000,1323 ,New
1985,Residential Plot,1102000,1323 ,New
1986,3 ,8482000,1600 ,Ready to move
1987,3 ,7500000,1800 ,Under Construction
1988,3 ,17000000,2627 ,Under Construction
1989,3 ,9900000,1500 ,Under Construction
1990,2 ,5400000,900 ,Under Construction
1991,3 ,8700000,1350 ,Ready to move
1992,2 ,6525000,1110 ,Ready to move
1993,2 ,6318000,1215 ,Under Construction
1994,2 ,6318000,1215 ,Under Construction
1995,2 ,6318000,1215 ,Under Construction
1996,2 ,6318000,1215 ,Under Construction
1997,3 ,9308000,1790 ,Under Construction
1998,3 ,9308000,1790 ,Under Construction
1999,3 ,6578000,1265 ,Under Construction
